scenario,solver,n,p,num_mc,snr,metric,value
B,TAFS,1000,10000,10,0.500000,PeakRSS,3147.250000
B,TAFS,1000,10000,10,0.500000,X+y MiB,76.301575
B,TAFS,1000,10000,10,1.000000,FDR,0.018182
B,TAFS,1000,10000,10,1.000000,TPR,1.000000
B,TAFS,1000,10000,10,1.000000,Avg L,1.100000
B,TAFS,1000,10000,10,1.000000,Avg T,4.700000
B,TAFS,1000,10000,10,1.000000,DGP s,0.045952
B,TAFS,1000,10000,10,1.000000,Select s,3.128059
B,TAFS,1000,10000,10,1.000000,s/T-iter,0.697036
B,TAFS,1000,10000,10,1.000000,Total s,3.174011
B,TAFS,1000,10000,10,1.000000,RSS MiB,95.375000
B,TAFS,1000,10000,10,1.000000,FootprMiB,4.969231
B,TAFS,1000,10000,10,1.000000,PeakRSS,3147.250000
B,TAFS,1000,10000,10,1.000000,X+y MiB,76.301575
B,TAFS,1000,10000,10,2.000000,FDR,0.016667
B,TAFS,1000,10000,10,2.000000,TPR,1.000000
B,TAFS,1000,10000,10,2.000000,Avg L,1.200000
B,TAFS,1000,10000,10,2.000000,Avg T,5.300000
B,TAFS,1000,10000,10,2.000000,DGP s,0.046471
B,TAFS,1000,10000,10,2.000000,Select s,3.502111
B,TAFS,1000,10000,10,2.000000,s/T-iter,0.734952
B,TAFS,1000,10000,10,2.000000,Total s,3.548582
B,TAFS,1000,10000,10,2.000000,RSS MiB,95.375000
B,TAFS,1000,10000,10,2.000000,FootprMiB,4.969231
B,TAFS,1000,10000,10,2.000000,PeakRSS,3147.250000
B,TAFS,1000,10000,10,2.000000,X+y MiB,76.301575
C,TAFS,5000,100000,10,0.500000,FDR,0.036364
C,TAFS,5000,100000,10,0.500000,TPR,1.000000
C,TAFS,5000,100000,10,0.500000,Avg L,1.000000
C,TAFS,5000,100000,10,0.500000,Avg T,3.100000
C,TAFS,5000,100000,10,0.500000,DGP s,1.832950
C,TAFS,5000,100000,10,0.500000,Select s,266.555659
C,TAFS,5000,100000,10,0.500000,s/T-iter,87.075336
C,TAFS,5000,100000,10,0.500000,Total s,268.388610
C,TAFS,5000,100000,10,0.500000,RSS MiB,3895.015625
C,TAFS,5000,100000,10,0.500000,FootprMiB,72.206627
C,TAFS,5000,100000,10,0.500000,PeakRSS,56398.968750
C,TAFS,5000,100000,10,0.500000,X+y MiB,3814.735413
C,TAFS,5000,100000,10,1.000000,FDR,0.025758
C,TAFS,5000,100000,10,1.000000,TPR,1.000000
