scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
WHOLE,0.800000,0.100000,M1(EN-C),0.002400,0.015212,0.002500,0.035355,0.000000,0.006000,0.002500,0.000500,0.000056,1.000000,8165328.719389,4.765000,100.000000
WHOLE,0.800000,0.100000,M2(EN-O),0.002400,0.015212,0.002500,0.035355,0.000000,0.006000,0.002500,0.000500,0.000056,1.000000,8165328.719389,4.765000,100.000000
WHOLE,0.800000,0.100000,M3(IE-C),0.000100,0.001414,0.005000,0.070711,0.000000,0.000500,0.005000,0.000000,0.000056,1.000000,8165328.719389,3.650000,100.000000
WHOLE,0.800000,0.100000,M4(IE-O),0.000100,0.001414,0.005000,0.070711,0.000000,0.000500,0.005000,0.000000,0.000056,1.000000,8165328.719389,3.650000,100.000000
WHOLE,0.800000,0.200000,M1(EN-C),0.023400,0.051553,0.021929,0.098528,0.000000,0.042500,0.029750,0.006500,0.000944,1.000000,6162063.272720,4.930000,100.000000
WHOLE,0.800000,0.200000,M2(EN-O),0.023400,0.051553,0.021929,0.098528,0.000000,0.042500,0.029750,0.006500,0.000944,1.000000,6162063.272720,4.930000,100.000000
WHOLE,0.800000,0.200000,M3(IE-C),0.004400,0.011011,0.017500,0.112578,0.000000,0.022000,0.017500,0.000000,0.000333,1.000000,6162063.272720,3.335000,100.000000
WHOLE,0.800000,0.200000,M4(IE-O),0.004400,0.011011,0.017500,0.112578,0.000000,0.022000,0.017500,0.000000,0.000333,1.000000,6162063.272720,3.335000,100.000000
WHOLE,0.800000,0.500000,M1(EN-C),0.202500,0.158535,0.060977,0.104471,0.000000,0.342500,0.098250,0.085000,0.007389,1.000000,2018020.721730,11.875000,100.000000
WHOLE,0.800000,0.500000,M2(EN-O),0.202500,0.158535,0.060977,0.104471,0.000000,0.342500,0.098250,0.085000,0.007389,1.000000,2018020.721730,11.875000,100.000000
WHOLE,0.800000,0.500000,M3(IE-C),0.033300,0.032841,0.036429,0.104454,0.000000,0.166500,0.036429,0.000000,0.001889,1.000000,2018020.721730,5.495000,100.000000
WHOLE,0.800000,0.500000,M4(IE-O),0.033300,0.032841,0.036429,0.104454,0.000000,0.166500,0.036429,0.000000,0.001889,1.000000,2018020.721730,5.495000,100.000000
WHOLE,0.800000,1.000000,M1(EN-C),0.498000,0.138550,0.053201,0.070074,0.000000,0.699500,0.109038,0.292000,0.011833,1.000000,181702.941214,13.365000,100.000000
WHOLE,0.800000,1.000000,M2(EN-O),0.498000,0.138550,0.053201,0.070074,0.000000,0.699500,0.109038,0.292000,0.011833,1.000000,181702.941214,13.365000,100.000000
WHOLE,0.800000,1.000000,M3(IE-C),0.085500,0.033666,0.018641,0.060038,0.000000,0.427500,0.018641,0.000000,0.001167,1.000000,181702.941214,7.165000,100.000000
