solver,metric,rho,support_type,gap,value
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,20,0.119395
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,20,0.056440
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,20,0.065784
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,15,0.892000
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,15,0.125758
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,15,0.063106
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,15,0.071400
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,10,0.867500
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,10,0.143165
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,10,0.051610
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,10,0.063198
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,5,0.065000
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,5,0.247144
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,1,0.060000
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,1,0.238083
TREX-DA+AR1: TLARS,mean_TPP,0.600000,Random,,0.759000
TREX-DA+AR1: TLARS,sd_TPP,0.600000,Random,,0.163563
TREX-DA+AR1: TLARS,mean_FDP,0.600000,Random,,0.047043
TREX-DA+AR1: TLARS,sd_FDP,0.600000,Random,,0.074163
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,100,0.813000
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,100,0.136101
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,100,0.047900
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,100,0.067780
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,50,0.827500
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,50,0.149686
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,50,0.052617
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,50,0.067661
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,20,0.814000
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,20,0.145981
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,20,0.061142
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,20,0.072552
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,15,0.806500
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,15,0.160426
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,15,0.051601
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,15,0.072502
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,10,0.000500
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,10,0.007071
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,10,0.080000
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,10,0.271974
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,5,0.070000
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,5,0.255787
TREX-DA+AR1: TLARS,mean_TPP,0.700000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.700000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.700000,CappedSpread,1,0.060000
TREX-DA+AR1: TLARS,sd_FDP,0.700000,CappedSpread,1,0.238083
TREX-DA+AR1: TLARS,mean_TPP,0.700000,Random,,0.643500
TREX-DA+AR1: TLARS,sd_TPP,0.700000,Random,,0.185824
TREX-DA+AR1: TLARS,mean_FDP,0.700000,Random,,0.047801
TREX-DA+AR1: TLARS,sd_FDP,0.700000,Random,,0.086727
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,100,0.682000
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,100,0.148953
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,100,0.041191
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,100,0.065240
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,50,0.678500
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,50,0.179580
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,50,0.042676
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,50,0.079763
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,20,0.562000
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,20,0.195569
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,20,0.049094
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,20,0.088138
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,15,0.000500
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,15,0.007071
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,15,0.115000
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,15,0.319823
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,10,0.000500
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,10,0.007071
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,10,0.125000
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,10,0.331549
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,5,0.115000
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,5,0.319823
TREX-DA+AR1: TLARS,mean_TPP,0.800000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.800000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.800000,CappedSpread,1,0.090000
TREX-DA+AR1: TLARS,sd_FDP,0.800000,CappedSpread,1,0.286900
TREX-DA+AR1: TLARS,mean_TPP,0.800000,Random,,0.464500
TREX-DA+AR1: TLARS,sd_TPP,0.800000,Random,,0.184008
TREX-DA+AR1: TLARS,mean_FDP,0.800000,Random,,0.045629
TREX-DA+AR1: TLARS,sd_FDP,0.800000,Random,,0.096496
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,100,0.461500
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,100,0.164936
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,100,0.087375
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,100,0.133236
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,50,0.427500
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,50,0.165623
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,50,0.088339
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,50,0.132224
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,20,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,20,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,20,0.160000
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,20,0.367526
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,15,0.000000
