solver,support_type,metric,SNR,Rho,value
TREX-DA+NN: TLARS,Random,mean_TPP,0.500000,0.600000,0.121500
TREX-DA+NN: TLARS,Random,sd_TPP,0.500000,0.600000,0.203457
TREX-DA+NN: TLARS,Random,mean_FDP,0.500000,0.600000,0.050690
TREX-DA+NN: TLARS,Random,sd_FDP,0.500000,0.600000,0.121661
TREX-DA+NN: TLARS,Random,mean_TPP,0.500000,0.700000,0.183000
TREX-DA+NN: TLARS,Random,sd_TPP,0.500000,0.700000,0.217133
TREX-DA+NN: TLARS,Random,mean_FDP,0.500000,0.700000,0.094171
TREX-DA+NN: TLARS,Random,sd_FDP,0.500000,0.700000,0.168880
TREX-DA+NN: TLARS,Random,mean_TPP,0.500000,0.800000,0.276000
TREX-DA+NN: TLARS,Random,sd_TPP,0.500000,0.800000,0.180519
TREX-DA+NN: TLARS,Random,mean_FDP,0.500000,0.800000,0.276902
TREX-DA+NN: TLARS,Random,sd_FDP,0.500000,0.800000,0.250723
TREX-DA+NN: TLARS,Random,mean_TPP,0.500000,0.900000,0.232000
TREX-DA+NN: TLARS,Random,sd_TPP,0.500000,0.900000,0.156841
TREX-DA+NN: TLARS,Random,mean_FDP,0.500000,0.900000,0.544172
TREX-DA+NN: TLARS,Random,sd_FDP,0.500000,0.900000,0.266631
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.100000,0.680500
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.100000,0.236324
