solver,support_type,metric,Kappa,Rho,value
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,15.000000,0.800000,0.778500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,15.000000,0.800000,0.154620
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,15.000000,0.800000,0.192739
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,15.000000,0.800000,0.134699
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,15.000000,0.900000,0.641000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,15.000000,0.900000,0.164787
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,15.000000,0.900000,0.387638
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,15.000000,0.900000,0.149111
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.100000,0.908000
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.100000,0.139042
TREX-DA+NN: TLARS,Random,mean_FDP,1.000000,0.100000,0.086393
TREX-DA+NN: TLARS,Random,sd_FDP,1.000000,0.100000,0.078831
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.300000,0.955500
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.300000,0.081257
TREX-DA+NN: TLARS,Random,mean_FDP,1.000000,0.300000,0.102302
TREX-DA+NN: TLARS,Random,sd_FDP,1.000000,0.300000,0.084999
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.500000,0.946000
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.500000,0.090692
TREX-DA+NN: TLARS,Random,mean_FDP,1.000000,0.500000,0.102175
TREX-DA+NN: TLARS,Random,sd_FDP,1.000000,0.500000,0.091203
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.700000,0.930000
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.700000,0.097713
TREX-DA+NN: TLARS,Random,mean_FDP,1.000000,0.700000,0.102778
TREX-DA+NN: TLARS,Random,sd_FDP,1.000000,0.700000,0.096121
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.800000,0.921500
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.800000,0.101188
TREX-DA+NN: TLARS,Random,mean_FDP,1.000000,0.800000,0.109310
TREX-DA+NN: TLARS,Random,sd_FDP,1.000000,0.800000,0.094549
TREX-DA+NN: TLARS,Random,mean_TPP,1.000000,0.900000,0.919500
TREX-DA+NN: TLARS,Random,sd_TPP,1.000000,0.900000,0.103067
TREX-DA+NN: TLARS,Random,mean_FDP,1.000000,0.900000,0.105188
TREX-DA+NN: TLARS,Random,sd_FDP,1.000000,0.900000,0.090971
TREX-DA+NN: TLARS,Random,mean_TPP,2.000000,0.100000,0.926500
TREX-DA+NN: TLARS,Random,sd_TPP,2.000000,0.100000,0.119243
TREX-DA+NN: TLARS,Random,mean_FDP,2.000000,0.100000,0.088813
TREX-DA+NN: TLARS,Random,sd_FDP,2.000000,0.100000,0.091176
TREX-DA+NN: TLARS,Random,mean_TPP,2.000000,0.300000,0.956500
TREX-DA+NN: TLARS,Random,sd_TPP,2.000000,0.300000,0.071998
TREX-DA+NN: TLARS,Random,mean_FDP,2.000000,0.300000,0.128256
TREX-DA+NN: TLARS,Random,sd_FDP,2.000000,0.300000,0.100718
TREX-DA+NN: TLARS,Random,mean_TPP,2.000000,0.500000,0.921500
TREX-DA+NN: TLARS,Random,sd_TPP,2.000000,0.500000,0.101683
TREX-DA+NN: TLARS,Random,mean_FDP,2.000000,0.500000,0.124295
TREX-DA+NN: TLARS,Random,sd_FDP,2.000000,0.500000,0.098332
TREX-DA+NN: TLARS,Random,mean_TPP,2.000000,0.700000,0.874500
TREX-DA+NN: TLARS,Random,sd_TPP,2.000000,0.700000,0.124810
