response,metric,tfdr,snr_db,value
oracle,TPR,0.200000,5.000000,1.000000
oracle,TPR,0.250000,5.000000,1.000000
oracle,TPR,0.300000,5.000000,1.000000
oracle,TPR,0.350000,5.000000,1.000000
oracle,TPR,0.400000,5.000000,1.000000
oracle,TPR,0.450000,5.000000,1.000000
oracle,TPR,0.500000,5.000000,1.000000
oracle,TPR,0.010000,7.000000,1.000000
oracle,TPR,0.050000,7.000000,1.000000
oracle,TPR,0.100000,7.000000,1.000000
oracle,TPR,0.150000,7.000000,1.000000
oracle,TPR,0.200000,7.000000,1.000000
oracle,TPR,0.250000,7.000000,1.000000
oracle,TPR,0.300000,7.000000,1.000000
oracle,TPR,0.350000,7.000000,1.000000
oracle,TPR,0.400000,7.000000,1.000000
oracle,TPR,0.450000,7.000000,1.000000
oracle,TPR,0.500000,7.000000,1.000000
oracle,TPR,0.010000,10.000000,1.000000
oracle,TPR,0.050000,10.000000,1.000000
oracle,TPR,0.100000,10.000000,1.000000
oracle,TPR,0.150000,10.000000,1.000000
oracle,TPR,0.200000,10.000000,1.000000
oracle,TPR,0.250000,10.000000,1.000000
oracle,TPR,0.300000,10.000000,1.000000
oracle,TPR,0.350000,10.000000,1.000000
oracle,TPR,0.400000,10.000000,1.000000
oracle,TPR,0.450000,10.000000,1.000000
oracle,TPR,0.500000,10.000000,1.000000
