"rho_level","rho","cut_height","var","group_size","group_members"
5,0.634215912823738,0.365784087176262,14,1,"14"
5,0.634215912823738,0.365784087176262,15,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,16,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,17,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,18,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,19,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,20,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,21,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,22,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,23,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,24,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,0,1,"0"
6,0.66252575686955,0.33747424313045,1,2,"1|2"
6,0.66252575686955,0.33747424313045,2,2,"1|2"
6,0.66252575686955,0.33747424313045,3,2,"3|4"
6,0.66252575686955,0.33747424313045,4,2,"3|4"
6,0.66252575686955,0.33747424313045,5,3,"5|6|7"
6,0.66252575686955,0.33747424313045,6,3,"5|6|7"
6,0.66252575686955,0.33747424313045,7,3,"5|6|7"
6,0.66252575686955,0.33747424313045,8,2,"8|9"
6,0.66252575686955,0.33747424313045,9,2,"8|9"
6,0.66252575686955,0.33747424313045,10,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,11,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,12,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,13,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,14,1,"14"
6,0.66252575686955,0.33747424313045,15,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,16,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,17,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,18,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,19,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,20,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,21,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,22,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,23,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,24,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,0,1,"0"
7,0.666142764990738,0.333857235009262,1,2,"1|2"
7,0.666142764990738,0.333857235009262,2,2,"1|2"
7,0.666142764990738,0.333857235009262,3,2,"3|4"
7,0.666142764990738,0.333857235009262,4,2,"3|4"
7,0.666142764990738,0.333857235009262,5,3,"5|6|7"
7,0.666142764990738,0.333857235009262,6,3,"5|6|7"
7,0.666142764990738,0.333857235009262,7,3,"5|6|7"
7,0.666142764990738,0.333857235009262,8,2,"8|9"
7,0.666142764990738,0.333857235009262,9,2,"8|9"
7,0.666142764990738,0.333857235009262,10,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,11,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,12,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,13,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,14,1,"14"
7,0.666142764990738,0.333857235009262,15,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,16,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,17,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,18,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,19,1,"19"
7,0.666142764990738,0.333857235009262,20,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,21,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,22,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,23,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,24,5,"20|21|22|23|24"
8,0.6805780142766,0.3194219857234,0,1,"0"
8,0.6805780142766,0.3194219857234,1,2,"1|2"
8,0.6805780142766,0.3194219857234,2,2,"1|2"
8,0.6805780142766,0.3194219857234,3,1,"3"
8,0.6805780142766,0.3194219857234,4,1,"4"
8,0.6805780142766,0.3194219857234,5,3,"5|6|7"
8,0.6805780142766,0.3194219857234,6,3,"5|6|7"
8,0.6805780142766,0.3194219857234,7,3,"5|6|7"
8,0.6805780142766,0.3194219857234,8,2,"8|9"
8,0.6805780142766,0.3194219857234,9,2,"8|9"
8,0.6805780142766,0.3194219857234,10,4,"10|11|12|13"
8,0.6805780142766,0.3194219857234,11,4,"10|11|12|13"
8,0.6805780142766,0.3194219857234,12,4,"10|11|12|13"
8,0.6805780142766,0.3194219857234,13,4,"10|11|12|13"
8,0.6805780142766,0.3194219857234,14,1,"14"
8,0.6805780142766,0.3194219857234,15,4,"15|16|17|18"
8,0.6805780142766,0.3194219857234,16,4,"15|16|17|18"
8,0.6805780142766,0.3194219857234,17,4,"15|16|17|18"
8,0.6805780142766,0.3194219857234,18,4,"15|16|17|18"
8,0.6805780142766,0.3194219857234,19,1,"19"
8,0.6805780142766,0.3194219857234,20,5,"20|21|22|23|24"
8,0.6805780142766,0.3194219857234,21,5,"20|21|22|23|24"
8,0.6805780142766,0.3194219857234,22,5,"20|21|22|23|24"
8,0.6805780142766,0.3194219857234,23,5,"20|21|22|23|24"
8,0.6805780142766,0.3194219857234,24,5,"20|21|22|23|24"
9,0.684504876135388,0.315495123864612,0,1,"0"
9,0.684504876135388,0.315495123864612,1,2,"1|2"
9,0.684504876135388,0.315495123864612,2,2,"1|2"
9,0.684504876135388,0.315495123864612,3,1,"3"
9,0.684504876135388,0.315495123864612,4,1,"4"
9,0.684504876135388,0.315495123864612,5,3,"5|6|7"
9,0.684504876135388,0.315495123864612,6,3,"5|6|7"
9,0.684504876135388,0.315495123864612,7,3,"5|6|7"
9,0.684504876135388,0.315495123864612,8,2,"8|9"
9,0.684504876135388,0.315495123864612,9,2,"8|9"
9,0.684504876135388,0.315495123864612,10,4,"10|11|12|13"
9,0.684504876135388,0.315495123864612,11,4,"10|11|12|13"
9,0.684504876135388,0.315495123864612,12,4,"10|11|12|13"
9,0.684504876135388,0.315495123864612,13,4,"10|11|12|13"
9,0.684504876135388,0.315495123864612,14,1,"14"
9,0.684504876135388,0.315495123864612,15,4,"15|16|17|18"
9,0.684504876135388,0.315495123864612,16,4,"15|16|17|18"
9,0.684504876135388,0.315495123864612,17,4,"15|16|17|18"
9,0.684504876135388,0.315495123864612,18,4,"15|16|17|18"
9,0.684504876135388,0.315495123864612,19,1,"19"
9,0.684504876135388,0.315495123864612,20,3,"20|21|22"
9,0.684504876135388,0.315495123864612,21,3,"20|21|22"
9,0.684504876135388,0.315495123864612,22,3,"20|21|22"
9,0.684504876135388,0.315495123864612,23,2,"23|24"
9,0.684504876135388,0.315495123864612,24,2,"23|24"
10,0.701804057778663,0.298195942221337,0,1,"0"
10,0.701804057778663,0.298195942221337,1,1,"1"
10,0.701804057778663,0.298195942221337,2,1,"2"
10,0.701804057778663,0.298195942221337,3,1,"3"
10,0.701804057778663,0.298195942221337,4,1,"4"
10,0.701804057778663,0.298195942221337,5,3,"5|6|7"
10,0.701804057778663,0.298195942221337,6,3,"5|6|7"
10,0.701804057778663,0.298195942221337,7,3,"5|6|7"
10,0.701804057778663,0.298195942221337,8,2,"8|9"
10,0.701804057778663,0.298195942221337,9,2,"8|9"
10,0.701804057778663,0.298195942221337,10,4,"10|11|12|13"
10,0.701804057778663,0.298195942221337,11,4,"10|11|12|13"
10,0.701804057778663,0.298195942221337,12,4,"10|11|12|13"
10,0.701804057778663,0.298195942221337,13,4,"10|11|12|13"
10,0.701804057778663,0.298195942221337,14,1,"14"
10,0.701804057778663,0.298195942221337,15,2,"15|16"
10,0.701804057778663,0.298195942221337,16,2,"15|16"
10,0.701804057778663,0.298195942221337,17,2,"17|18"
10,0.701804057778663,0.298195942221337,18,2,"17|18"
10,0.701804057778663,0.298195942221337,19,1,"19"
10,0.701804057778663,0.298195942221337,20,3,"20|21|22"
10,0.701804057778663,0.298195942221337,21,3,"20|21|22"
10,0.701804057778663,0.298195942221337,22,3,"20|21|22"
10,0.701804057778663,0.298195942221337,23,2,"23|24"
10,0.701804057778663,0.298195942221337,24,2,"23|24"
11,0.708497728535266,0.291502271464734,0,1,"0"
11,0.708497728535266,0.291502271464734,1,1,"1"
11,0.708497728535266,0.291502271464734,2,1,"2"
11,0.708497728535266,0.291502271464734,3,1,"3"
11,0.708497728535266,0.291502271464734,4,1,"4"
11,0.708497728535266,0.291502271464734,5,3,"5|6|7"
11,0.708497728535266,0.291502271464734,6,3,"5|6|7"
11,0.708497728535266,0.291502271464734,7,3,"5|6|7"
11,0.708497728535266,0.291502271464734,8,2,"8|9"
11,0.708497728535266,0.291502271464734,9,2,"8|9"
11,0.708497728535266,0.291502271464734,10,1,"10"
11,0.708497728535266,0.291502271464734,11,3,"11|12|13"
11,0.708497728535266,0.291502271464734,12,3,"11|12|13"
11,0.708497728535266,0.291502271464734,13,3,"11|12|13"
11,0.708497728535266,0.291502271464734,14,1,"14"
11,0.708497728535266,0.291502271464734,15,2,"15|16"
11,0.708497728535266,0.291502271464734,16,2,"15|16"
11,0.708497728535266,0.291502271464734,17,2,"17|18"
11,0.708497728535266,0.291502271464734,18,2,"17|18"
11,0.708497728535266,0.291502271464734,19,1,"19"
11,0.708497728535266,0.291502271464734,20,3,"20|21|22"
11,0.708497728535266,0.291502271464734,21,3,"20|21|22"
11,0.708497728535266,0.291502271464734,22,3,"20|21|22"
11,0.708497728535266,0.291502271464734,23,2,"23|24"
11,0.708497728535266,0.291502271464734,24,2,"23|24"
12,0.715675434721839,0.284324565278161,0,1,"0"
12,0.715675434721839,0.284324565278161,1,1,"1"
12,0.715675434721839,0.284324565278161,2,1,"2"
12,0.715675434721839,0.284324565278161,3,1,"3"
12,0.715675434721839,0.284324565278161,4,1,"4"
12,0.715675434721839,0.284324565278161,5,3,"5|6|7"
12,0.715675434721839,0.284324565278161,6,3,"5|6|7"
12,0.715675434721839,0.284324565278161,7,3,"5|6|7"
12,0.715675434721839,0.284324565278161,8,2,"8|9"
12,0.715675434721839,0.284324565278161,9,2,"8|9"
12,0.715675434721839,0.284324565278161,10,1,"10"
12,0.715675434721839,0.284324565278161,11,3,"11|12|13"
12,0.715675434721839,0.284324565278161,12,3,"11|12|13"
12,0.715675434721839,0.284324565278161,13,3,"11|12|13"
12,0.715675434721839,0.284324565278161,14,1,"14"
12,0.715675434721839,0.284324565278161,15,1,"15"
